name,country,population,latitude,longitude
Thuwal,Saudi Arabia,4,22.26606389,38.96359444
Dunganab_Bay,Sudan,5,21.02395,37.13625
Offshore_Reefs,Sudan,6,20.13892,37.2846
Farasan_Islands,Saudi Arabia,8,16.79297222,42.19725
Moucha_Maskali,Djibouti,10,11.759,43.217
