name,country,population,latitude,longitude
Moucha_Maskali,Djibouti,10,11.759,43.217
Socotra,Yemen,12,12.617,54.35
Mirbat,Oman,14,16.95855,54.756572
Al_Hallaniyats,Oman,15,17.483,55.983
Masirah_Island,Oman,16,20.165,58.634
