"sample1","sample2","geo","PC1","PC2","PC3"
"1","1",0,0,0,0
"2","1",249570.526522632,0.878082529061256,2.75651565141439,0.520298725191306
"3","1",308128.932172726,1.48449181285313,0.000370202516952078,2.41806282524474
"4","1",751732.872398842,2.95884755638425,1.60934937563064,0.981298356228657
"5","1",1370531.47120221,2.96362025761539,1.26623497818802,4.48457266666938
"1","2",249570.526522632,0.878082529061256,2.75651565141439,0.520298725191306
"2","2",0,0,0,0
"3","2",108349.815180251,0.606409283791878,2.75614544889744,2.93836155043605
"4","2",735982.321311688,3.83693008544551,4.36586502704503,1.50159708141996
"5","2",1304372.39880087,3.84170278667664,4.02275062960241,5.00487139186069
"1","3",308128.932172726,1.48449181285313,0.000370202516952078,2.41806282524474
"2","3",108349.815180251,0.606409283791878,2.75614544889744,2.93836155043605
"3","3",0,0,0,0
"4","3",675524.120985608,4.44333936923739,1.60971957814759,1.43676446901609
"5","3",1197731.01971067,4.44811207046852,1.26660518070497,2.06650984142464
"1","4",751732.872398842,2.95884755638425,1.60934937563064,0.981298356228657
"2","4",735982.321311688,3.83693008544551,4.36586502704503,1.50159708141996
"3","4",675524.120985608,4.44333936923739,1.60971957814759,1.43676446901609
"4","4",0,0,0,0
"5","4",618890.745628847,0.00477270123113405,0.343114397442626,3.50327431044072
"1","5",1370531.47120221,2.96362025761539,1.26623497818802,4.48457266666938
"2","5",1304372.39880087,3.84170278667664,4.02275062960241,5.00487139186069
"3","5",1197731.01971067,4.44811207046852,1.26660518070497,2.06650984142464
"4","5",618890.745628847,0.00477270123113405,0.343114397442626,3.50327431044072
"5","5",0,0,0,0
