"sample1","sample2","geo","PC1","PC2","PC3"
"1","1",0,0,0,0
"2","1",79144.0668436476,0.286502425745994,1.0141004404575,1.79539110581248
"3","1",845035.557245506,4.44612434815986,4.59358463446632,4.13703247967621
"4","1",1018533.91622936,2.96163253530673,4.59321443194937,1.71896965443147
"5","1",1327083.92998945,5.22490233545552,6.96370765387271,1.59921782191241
"6","1",2208832.9910517,7.40974460577525,5.85981961265434,0.347540186993169
"7","1",2269543.91236769,7.20125662311771,5.03570222060593,1.90178800831953
"8","1",3288211.80170631,6.49849127203,3.26968166345536,0.49543763393402
"9","1",3518308.67387826,9.39016179719104,0.392520922553788,1.71078348352992
"10","1",3665937.83148077,8.81329991884708,1.09405738077799,0.681167732506047
"11","1",4094500.60394483,10.4820253048717,0.110765663459053,2.5606709921691
"1","2",79144.0668436476,0.286502425745994,1.0141004404575,1.79539110581248
"2","2",0,0,0,0
"3","2",770914.110230819,4.15962192241387,3.57948419400882,2.34164137386373
"4","2",944412.469214676,2.67513010956073,3.57911399149187,0.0764214513810132
"5","2",1252962.48297476,4.93839990970952,5.94960721341521,0.196173283900075
"6","2",2134711.54403702,7.12324218002925,4.84571917219684,2.14293129280565
"7","2",2195422.46535301,6.91475419737172,4.02160178014843,0.106396902507046
"8","2",3214090.35469162,6.21198884628401,2.25558122299787,2.2908287397465
"9","2",3444187.22686357,9.10365937144505,1.40662136301129,0.0846076222825631
"10","2",3591816.38446608,8.52679749310109,0.0799569403204961,1.11422337330643
"11","2",4020379.15693014,10.1955228791257,1.12486610391655,0.765279886356615
"1","3",845035.557245506,4.44612434815986,4.59358463446632,4.13703247967621
"2","3",770914.110230819,4.15962192241387,3.57948419400882,2.34164137386373
"3","3",0,0,0,0
"4","3",308128.932172726,1.48449181285313,0.000370202516952078,2.41806282524474
"5","3",488782.410139953,0.778777987295655,2.37012301940639,2.53781465776381
"6","3",1370531.47120221,2.96362025761539,1.26623497818802,4.48457266666938
"7","3",1431242.3925182,2.75513227495785,0.44211758613961,2.23524447135668
"8","3",2449910.28185682,2.05236692387014,1.32390297101096,4.63247011361023
"9","3",2680007.15402877,4.94403744903118,4.98610555702011,2.42624899614629
"10","3",2827636.31163127,4.36717557068722,3.49952725368833,3.45586474717016
"11","3",3256199.08409533,6.03590095671185,4.70435029792537,1.57636148750712
"1","4",1018533.91622936,2.96163253530673,4.59321443194937,1.71896965443147
"2","4",944412.469214676,2.67513010956073,3.57911399149187,0.0764214513810132
"3","4",308128.932172726,1.48449181285313,0.000370202516952078,2.41806282524474
"4","4",0,0,0,0
"5","4",438041.824379246,2.26326980014879,2.37049322192334,0.119751832519061
"6","4",1197731.01971067,4.44811207046852,1.26660518070497,2.06650984142464
"7","4",1258441.94102666,4.23962408781099,0.442487788656562,0.182818353888059
"8","4",2277109.83036528,3.53685873672327,1.32353276849401,2.21440728836549
"9","4",2507206.70253722,6.42852926188431,4.98573535450316,0.00818617090154991
"10","4",2654835.86013973,5.85166738354035,3.49915705117138,1.03780192192542
"11","4",3083398.63260379,7.52039276956498,4.70398009540842,0.841701337737628
"1","5",1327083.92998945,5.22490233545552,6.96370765387271,1.59921782191241
"2","5",1252962.48297476,4.93839990970952,5.94960721341521,0.196173283900075
"3","5",488782.410139953,0.778777987295655,2.37012301940639,2.53781465776381
"4","5",438041.824379246,2.26326980014879,2.37049322192334,0.119751832519061
"5","5",0,0,0,0
"6","5",881980.838513467,2.18484227031973,1.10388804121837,1.94675800890558
"7","5",942691.759829457,1.9763542876622,1.92800543326678,0.302570186407121
