"sample1","sample2","geo","PC1","PC2","PC3"
"1","1",0,0,0,0
"2","1",79144.0668436476,0.286502425745994,1.0141004404575,1.79539110581248
"3","1",389527.478913231,1.3972104163149,2.55930318174455,2.26240858088649
"4","1",845035.557245506,4.44612434815986,4.59358463446632,4.13703247967621
"5","1",1018533.91622936,2.96163253530673,4.59321443194937,1.71896965443147
"6","1",1327083.92998945,5.22490233545552,6.96370765387271,1.59921782191241
"1","2",79144.0668436476,0.286502425745994,1.0141004404575,1.79539110581248
"2","2",0,0,0,0
"3","2",315406.031898543,1.1107079905689,1.54520274128705,0.467017475074007
"4","2",770914.110230819,4.15962192241387,3.57948419400882,2.34164137386373
"5","2",944412.469214676,2.67513010956073,3.57911399149187,0.0764214513810132
"6","2",1252962.48297476,4.93839990970952,5.94960721341521,0.196173283900075
"1","3",389527.478913231,1.3972104163149,2.55930318174455,2.26240858088649
"2","3",315406.031898543,1.1107079905689,1.54520274128705,0.467017475074007
"3","3",0,0,0,0
"4","3",455625.24620175,3.04891393184496,2.03428145272177,1.87462389878972
"5","3",629123.605185607,1.56442211899183,2.03391125020482,0.54343892645502
"6","3",937673.61894569,3.82769191914062,4.40440447212816,0.663190758974081
"1","4",845035.557245506,4.44612434815986,4.59358463446632,4.13703247967621
"2","4",770914.110230819,4.15962192241387,3.57948419400882,2.34164137386373
"3","4",455625.24620175,3.04891393184496,2.03428145272177,1.87462389878972
"4","4",0,0,0,0
"5","4",308128.932172726,1.48449181285313,0.000370202516952078,2.41806282524474
"6","4",488782.410139953,0.778777987295655,2.37012301940639,2.53781465776381
"1","5",1018533.91622936,2.96163253530673,4.59321443194937,1.71896965443147
"2","5",944412.469214676,2.67513010956073,3.57911399149187,0.0764214513810132
"3","5",629123.605185607,1.56442211899183,2.03391125020482,0.54343892645502
"4","5",308128.932172726,1.48449181285313,0.000370202516952078,2.41806282524474
"5","5",0,0,0,0
"6","5",438041.824379246,2.26326980014879,2.37049322192334,0.119751832519061
"1","6",1327083.92998945,5.22490233545552,6.96370765387271,1.59921782191241
"2","6",1252962.48297476,4.93839990970952,5.94960721341521,0.196173283900075
"3","6",937673.61894569,3.82769191914062,4.40440447212816,0.663190758974081
"4","6",488782.410139953,0.778777987295655,2.37012301940639,2.53781465776381
"5","6",438041.824379246,2.26326980014879,2.37049322192334,0.119751832519061
"6","6",0,0,0,0
